Key,zh-tw,zh-cn,ja-jp,en
Card._Card_bk001v1.Name,閃光之書,闪光之书,閃光の書,Tome of Light
Card._Card_bk001v2.Name,閃耀之書,闪耀之书,『ひらめきの書』,Tome of Flash
Card._Card_bk001v3.Name,聖光之書,圣光之书,聖光の書,Tome of Holy Light
Card._Card_bk001v4.Name,《正當防衛》,《正当防卫》,『正当防衛』,Righteous Defense
Card._Card_bk002v1.Name,懲戒之書,惩戒之书,制裁の書,Tome of Smite
Card._Card_bk002v2.Name,神罰之書,神罚之书,天罰の書,Tome of Divine Punisher
Card._Card_bk002v3.Name,《聖言懲戒》,《圣言惩戒》,『聖言制裁』,Oracular Reprimand
Card._Card_bk003v1.Name,加速之書,加速之书,加速の書,Tome of Speed
Card._Card_bk003v2.Name,時之書,时间之书,時の書,Tome of Time
Card._Card_bk003v3.Name,《時間相對論》,《时间相对论》,『時間の遅れ』,Relativity of Time
Card._Card_bk004v1.Name,憤怒之書,愤怒之书,憤怒の書,Tome of Rage
Card._Card_bk004v2.Name,神怒之書,神怒之书,神怒の書,Tome of Raging God
Card._Card_bk004v3.Name,《眾神之怒》,《众神之怒》,『ラース　オブ　ゴッド』,Wrath of Gods
Card._Card_bk005v1.Name,智慧之書,智慧之书,知恵の書,Tome of Wisdom
Card._Card_bk005v2.Name,《結晶智慧》,《结晶智慧》,『結晶の知恵』,Gems of Wisdom
Card._Card_bk006v1.Name,防禦之書,防御之书,防御の書,Tome of Defense
Card._Card_bk006v2.Name,《鋼鐵堡壘》,《钢铁堡垒》,『鋼鉄の要塞』,Steel Fortress
Card._Card_bk007v1.Name,回復之書,恢复之书,回復の書,Tome of Healing I
Card._Card_bk007v2.Name,快速回復之書,快速恢复之书,高速回復の書,Tome of Quick Healing
Card._Card_bk007v3.Name,《生命滿溢》,《生命满溢》,『溢れる命』,Tome of Revival
Card._Card_bk008v1.Name,大回復之書,大恢复之书,大量回復の書,Tome of Healing II
Card._Card_bk008v2.Name,高階回復之書,高阶恢复之书,高級回復の書,Tome of Healing III
Card._Card_bk008v3.Name,《美味食譜100選》,《美味食谱100选》,『グルメのレシピ100選』,So Yummy Cookbook
Card._Card_bk009v1.Name,聖盾之書,圣盾之书,聖盾の書,Tome of Holy Shield
Card._Card_bk009v2.Name,《聖火護盾》,《圣火护盾》,『聖火の護盾』,Shield of Holy Fire
Card._Card_bk010v1.Name,淨化之書,净化之书,浄化の書,Tome of Cleanse
Card._Card_bk010v2.Name,《清淨如水》,《清净如水》,『清い一滴』,Tome of Great Cleanse
Card._Card_bk016v1.Name,燃燒之書,燃烧之书,燃焼の書,Tome of Fire
Card._Card_bk016v2.Name,猛炎之書,猛炎之书,猛火の書,Tome of Raging Fire
Card._Card_bk017v1.Name,《自由火蝶》,《自由火蝶》,『ヘルフレイムデスフライ』,Liberation Butterfly
Card._Card_bk018v1.Name,觸電之書,触电之书,感電の書,Tome of Electrocution
Card._Card_bk018v2.Name,《雷電蜂》,《雷电蜂》,『雷電蜂』,Lightning Wasp
Card._Card_bk019v1.Name,《永久凍土》,《永久冻土》,『永久凍土』,Permafrost
Card._Card_bk020v4.Name,轟雷的石書,轰雷的石书,轟雷の石書,Stele of Thunderbolt
Card._Card_bk021v1.Name,《火焰之加護》,《火焰之加护》,『火炎の加護』,Fortification of Fire
Card._Card_bk022v1.Name,《流水之加護》,《流水之加护》,『流水の加護』,Fortification of Water
Card._Card_bk023v1.Name,《自然之加護》,《自然之加护》,『自然の加護』,Fortification of Nature
Card._Card_bk024v1.Name,《雷電之加護》,《雷电之加护》,『雷電の加護』,Fortification of Thunder
Card._Card_bk025v1.Name,《四元加護》,《四元加护》,『四元素の加護』,Fortification of Elements
Card._Card_bk026v1.Name,航海指南,,航海マニュアル,Sailing Instruction
Card._Card_bk026v2.Name,腥紅海鯊後援團守則,,クリムゾンシャークファンクラブの規則,Rules of C.S. Fan Club